step,thrust,turn,x,y,theta
245,0.696787,0.022665,245.111,217.866,0.053324
246,0.692425,-0.013353,245.806,217.905,0.056044
247,0.693406,0.023904,246.498,217.942,0.054442
248,0.704723,-0.063311,247.190,217.982,0.057310
249,0.702594,-0.063136,247.894,218.017,0.049713
250,0.697520,-0.097668,248.596,218.047,0.042136
251,0.698846,-0.104061,249.293,218.068,0.030416
252,0.689150,-0.021402,249.992,218.080,0.017929
253,0.691348,0.012037,250.681,218.091,0.015361
254,0.689321,0.008635,251.372,218.103,0.016805
255,0.691495,0.121428,252.061,218.115,0.017841
256,0.696786,0.179648,252.752,218.137,0.032413
257,0.699273,0.165739,253.448,218.175,0.053970
258,0.697904,0.112842,254.146,218.227,0.073859
259,0.697378,0.098033,254.841,218.287,0.087400
260,0.696733,0.085390,255.535,218.356,0.099164
261,0.692337,0.040816,256.227,218.433,0.109411
262,0.692488,0.030914,256.915,218.512,0.114309
263,0.693851,0.108141,257.603,218.593,0.118019
264,0.693336,0.099359,258.291,218.684,0.130995
265,0.692152,0.095716,258.977,218.782,0.142919
266,0.683377,0.125493,259.661,218.889,0.154404
267,0.681741,0.204137,260.334,219.004,0.169464
268,0.686594,0.237266,261.003,219.136,0.193960
269,0.688073,0.189388,261.673,219.287,0.222432
270,0.692967,0.173421,262.341,219.454,0.245158
271,0.693710,0.128821,263.009,219.636,0.265969
272,0.695125,0.108817,263.676,219.829,0.281428
273,0.694523,0.025505,264.341,220.031,0.294486
274,0.691045,0.020810,265.005,220.234,0.297546
275,0.686775,-0.047729,265.665,220.438,0.300043
276,0.677466,-0.047083,266.322,220.638,0.294316
277,0.684133,-0.052144,266.972,220.831,0.288666
278,0.686021,-0.045364,267.629,221.021,0.282409
279,0.690367,-0.081794,268.289,221.209,0.276965
280,0.694556,-0.079100,268.954,221.391,0.267150
281,0.698925,-0.079037,269.626,221.568,0.257658
282,0.700062,-0.088037,270.304,221.740,0.248173
283,0.700076,-0.078065,270.984,221.904,0.237609
284,0.700684,-0.069323,271.666,222.063,0.228241
285,0.702354,-0.078332,272.350,222.216,0.219922
286,0.702790,-0.122120,273.037,222.362,0.210523
287,0.698362,-0.126118,273.726,222.499,0.195868
288,0.696563,-0.111247,274.413,222.625,0.180734
289,0.701242,-0.116387,275.100,222.741,0.167384
290,0.705337,-0.039260,275.793,222.848,0.153418
291,0.711057,-0.034449,276.490,222.952,0.148707
292,0.712114,-0.004436,277.194,223.055,0.144573
293,0.714909,0.006907,277.899,223.157,0.144041
294,0.718908,-0.034715,278.606,223.260,0.144870
