step,thrust,turn,x,y,theta
252,0.686210,0.088414,244.052,161.210,-0.641205
253,0.684056,0.075001,244.607,160.805,-0.630595
254,0.689793,0.148757,245.163,160.407,-0.621595
255,0.694424,0.085933,245.731,160.015,-0.603744
256,0.701104,0.093270,246.306,159.627,-0.593432
257,0.706529,0.082452,246.892,159.242,-0.582240
258,0.706791,0.147147,247.486,158.859,-0.572346
259,0.707329,0.057180,248.087,158.487,-0.554688
260,0.708103,-0.042192,248.690,158.118,-0.547826
261,0.703144,-0.093752,249.293,157.746,-0.552889
262,0.701977,-0.056308,249.887,157.370,-0.564140
263,0.706031,-0.057264,250.478,156.991,-0.570897
264,0.701028,-0.098723,251.069,156.606,-0.577768
265,0.696483,-0.021785,251.652,156.216,-0.589615
266,0.692975,0.011790,252.230,155.827,-0.592229
267,0.693597,0.091659,252.805,155.441,-0.590815
268,0.694695,0.008307,253.386,155.061,-0.579815
269,0.692894,0.002818,253.967,154.681,-0.578819
270,0.700310,0.043802,254.547,154.302,-0.578481
271,0.698968,0.004685,255.136,153.922,-0.573224
272,0.697863,-0.011280,255.723,153.544,-0.572662
273,0.692152,-0.013393,256.309,153.165,-0.574016
274,0.685573,-0.050062,256.890,152.788,-0.575623
275,0.683800,-0.041400,257.463,152.411,-0.581630
276,0.680129,-0.044098,258.032,152.033,-0.586598
277,0.680633,-0.095857,258.597,151.653,-0.591890
278,0.680880,-0.021100,259.157,151.267,-0.603393
279,0.684679,-0.064279,259.717,150.879,-0.605925
280,0.686341,-0.067035,260.276,150.485,-0.613638
281,0.691609,-0.029920,260.834,150.085,-0.621683
282,0.690681,-0.036377,261.395,149.680,-0.625273
283,0.689862,0.000710,261.953,149.274,-0.629638
284,0.692634,-0.078655,262.511,148.867,-0.629553
285,0.694783,-0.144980,263.067,148.454,-0.638991
286,0.702062,-0.190541,263.617,148.030,-0.656389
287,0.696509,-0.121027,264.164,147.589,-0.679254
288,0.698280,-0.030681,264.699,147.144,-0.693777
289,0.697863,-0.072976,265.234,146.696,-0.697459
290,0.701816,-0.035178,265.765,146.243,-0.706216
291,0.704625,0.046195,266.297,145.785,-0.710437
292,0.709060,0.077027,266.834,145.328,-0.704894
293,0.711754,0.086081,267.378,144.874,-0.695651
294,0.715199,0.113626,267.929,144.423,-0.685321
295,0.711149,0.099667,268.489,143.978,-0.671686
296,0.710658,0.125516,269.051,143.543,-0.659726
297,0.707788,0.003995,269.619,143.115,-0.644664
298,0.705436,0.026891,270.185,142.690,-0.644184
299,0.707148,0.024556,270.750,142.269,-0.640958
300,0.707768,0.020694,271.318,141.847,-0.638011
301,0.697399,-0.110713,271.888,141.427,-0.635528
302,0.689185,-0.119060,272.444,141.006,-0.648813
303,0.679761,-0.109324,272.987,140.582,-0.663100
304,0.678359,-0.106100,273.517,140.156,-0.676219
305,0.678248,-0.064143,274.041,139.725,-0.688951
306,0.683567,-0.099049,274.561,139.290,-0.696648
307,0.693694,-0.024477,275.080,138.845,-0.708534
308,0.692628,0.018975,275.605,138.392,-0.711471
309,0.698399,0.093619,276.131,137.941,-0.709194
310,0.693945,0.046173,276.666,137.492,-0.697960
311,0.696540,-0.014687,277.200,137.049,-0.692419
312,0.702248,-0.012130,277.736,136.603,-0.694182
313,0.695437,-0.055096,278.275,136.153,-0.695637
314,0.690754,-0.104434,278.806,135.704,-0.702249
315,0.681501,-0.054644,279.327,135.251,-0.714781
316,0.682633,0.022721,279.839,134.801,-0.721338
317,0.677503,-0.045646,280.353,134.352,-0.718612
318,0.680278,-0.044634,280.860,133.903,-0.724089
319,0.681339,-0.041555,281.367,133.450,-0.729445
320,0.684248,-0.080429,281.873,132.993,-0.734432
321,0.685473,-0.092001,282.377,132.530,-0.744084
322,0.687557,-0.003687,282.876,132.060,-0.755124
323,0.693451,-0.050764,283.376,131.588,-0.755566
324,0.684024,-0.091122,283.878,131.110,-0.761658
325,0.688837,-0.092480,284.368,130.632,-0.772592
326,0.689268,-0.092038,284.856,130.146,-0.783690
327,0.687280,-0.046723,285.339,129.654,-0.794735
328,0.689258,-0.117293,285.817,129.161,-0.800341
329,0.682008,0.037511,286.290,128.660,-0.814417
330,0.689537,0.081720,286.761,128.166,-0.809915
331,0.692335,0.000355,287.241,127.671,-0.800109
332,0.686753,-0.044888,287.723,127.174,-0.800066
333,0.689433,-0.059412,288.199,126.679,-0.805453
334,0.690342,-0.013445,288.673,126.179,-0.812582
335,0.694628,-0.055152,289.147,125.677,-0.814196
336,0.698307,-0.023182,289.620,125.168,-0.820814
337,0.695474,0.006237,290.095,124.656,-0.823596
338,0.700849,-0.039724,290.568,124.146,-0.822848
339,0.703109,-0.048560,291.042,123.630,-0.827614
340,0.702327,-0.061436,291.515,123.110,-0.833442
341,0.704622,-0.066097,291.983,122.586,-0.840814
342,0.703764,-0.091487,292.449,122.058,-0.848746
343,0.704944,-0.098635,292.908,121.524,-0.859724
344,0.704906,-0.130723,293.362,120.985,-0.871560
345,0.703645,-0.131550,293.807,120.438,-0.887247
346,0.701539,-0.045118,294.243,119.886,-0.903033
347,0.699616,-0.043902,294.674,119.333,-0.908447
348,0.703552,-0.044321,295.102,118.779,-0.913715
349,0.702298,-0.011354,295.528,118.219,-0.919034
350,0.695841,0.001594,295.954,117.660,-0.920396
351,0.698394,0.069459,296.375,117.107,-0.920205
352,0.701564,0.071557,296.803,116.555,-0.911870
353,0.706467,0.019553,297.237,116.004,-0.903283
354,0.713071,0.022151,297.676,115.450,-0.900937
355,0.709152,0.025035,298.120,114.892,-0.898279
356,0.709636,0.024321,298.563,114.339,-0.895274
357,0.708157,0.051892,299.009,113.786,-0.892356
358,0.707127,0.048130,299.457,113.238,-0.886129
359,0.712030,0.002738,299.907,112.692,-0.880353
360,0.709304,-0.004672,300.361,112.144,-0.880025
361,0.702543,0.148895,300.812,111.597,-0.880585
362,0.704344,0.113280,301.269,111.063,-0.862718
363,0.697549,0.018611,301.734,110.534,-0.849124
364,0.694730,0.013694,302.196,110.012,-0.846891
365,0.694938,-0.076965,302.657,109.492,-0.845248
366,0.695150,-0.058161,303.114,108.968,-0.854484
367,0.691186,-0.143515,303.566,108.440,-0.861463
368,0.694993,-0.144268,304.008,107.908,-0.878685
369,0.691389,-0.097505,304.442,107.365,-0.895997
370,0.691351,-0.047161,304.867,106.821,-0.907697
371,0.696660,-0.050996,305.290,106.273,-0.913357
372,0.697830,-0.008643,305.712,105.719,-0.919476
373,0.703715,-0.011658,306.135,105.164,-0.920513
374,0.695581,0.053421,306.560,104.603,-0.921912
375,0.694495,0.089469,306.984,104.052,-0.915502
376,0.692932,0.085781,307.413,103.506,-0.904766
377,0.693270,0.029268,307.847,102.965,-0.894472
378,0.687504,0.016052,308.282,102.426,-0.890960
379,0.688223,0.006457,308.716,101.892,-0.889034
380,0.687264,0.047094,309.150,101.358,-0.888259
381,0.688345,0.047497,309.586,100.827,-0.882608
382,0.692505,-0.036523,310.027,100.298,-0.876908
383,0.692435,0.031464,310.467,99.764,-0.881291
384,0.690925,-0.009189,310.910,99.231,-0.877515
385,0.688251,-0.028545,311.351,98.699,-0.878618
386,0.690203,-0.074776,311.788,98.168,-0.882043
387,0.692887,0.002729,312.222,97.631,-0.891016
388,0.693706,0.039249,312.658,97.092,-0.890689
389,0.700869,-0.040634,313.096,96.555,-0.885979
390,0.705333,-0.082792,313.537,96.010,-0.890855
391,0.708370,-0.125154,313.975,95.457,-0.900790
392,0.701992,-0.082919,314.407,94.896,-0.915809
393,0.701557,-0.082160,314.829,94.335,-0.925759
394,0.700399,-0.124969,315.245,93.770,-0.935618
395,0.702696,-0.030879,315.652,93.200,-0.950614
396,0.704497,0.084739,316.058,92.627,-0.954320
397,0.705222,0.006062,316.471,92.056,-0.944151
398,0.699885,0.043850,316.885,91.485,-0.943424
399,0.704096,-0.041706,317.299,90.921,-0.938162
400,0.699871,-0.081367,317.713,90.351,-0.943166
401,0.700282,-0.039837,318.118,89.780,-0.952931
402,0.703595,-0.034887,318.521,89.207,-0.957711
403,0.701046,-0.081101,318.923,88.630,-0.961897
404,0.701925,-0.117343,319.319,88.051,-0.971629
405,0.706295,-0.037091,319.706,87.466,-0.985711
406,0.703870,-0.080460,320.094,86.876,-0.990162
407,0.706090,-0.031357,320.474,86.283,-0.999817
408,0.703908,-0.058589,320.854,85.688,-1.003580
409,0.699215,-0.018363,321.228,85.092,-1.010610
410,0.693216,0.017089,321.598,84.498,-1.012814
411,0.689874,-0.069643,321.966,83.911,-1.010763
412,0.682113,-0.082829,322.328,83.324,-1.019120
413,0.673777,-0.077299,322.679,82.739,-1.029060
414,0.674024,-0.073945,323.021,82.159,-1.038336
415,0.676433,-0.039403,323.358,81.575,-1.047209
416,0.679486,0.050002,323.694,80.987,-1.051937
417,0.684501,0.085810,324.034,80.399,-1.045937
418,0.689391,0.047582,324.383,79.811,-1.035640
419,0.689343,0.036209,324.738,79.220,-1.029930
420,0.688775,0.002617,325.096,78.630,-1.025585
421,0.686225,0.086379,325.453,78.041,-1.025271
422,0.687127,-0.007141,325.815,77.459,-1.014906
423,0.683328,0.020045,326.177,76.875,-1.015763
424,0.687528,-0.018764,326.539,76.295,-1.013357
425,0.689489,-0.055989,326.901,75.710,-1.015609
426,0.687685,-0.065965,327.261,75.122,-1.022328
427,0.688265,-0.023534,327.615,74.532,-1.030243
428,0.691216,-0.065515,327.967,73.941,-1.033067
429,0.694235,0.046222,328.317,73.345,-1.040929
430,0.687154,0.045785,328.671,72.748,-1.035383
431,0.687153,-0.049349,329.025,72.159,-1.029888
432,0.685475,-0.105478,329.375,71.568,-1.035810
433,0.687008,-0.086443,329.717,70.974,-1.048468
434,0.691127,-0.086010,330.054,70.375,-1.058841
435,0.687403,-0.052680,330.386,69.769,-1.069162
436,0.686874,-0.049121,330.713,69.164,-1.075484
437,0.694189,-0.091606,331.035,68.558,-1.081378
438,0.699390,-0.101934,331.355,67.941,-1.092371
439,0.702752,-0.067648,331.669,67.317,-1.104603
440,0.700904,-0.067551,331.980,66.686,-1.112721
441,0.705291,0.044224,332.285,66.055,-1.120827
442,0.705767,0.158731,332.595,65.422,-1.115520
443,0.707547,0.219361,332.918,64.794,-1.096472
444,0.708478,0.172037,333.257,64.173,-1.070149
445,0.710725,0.105892,333.610,63.559,-1.049504
